あいの里教育大	あいのさときょういくだい	Ainosato-Kyōikudai	G10	札沼線	北海道	札幌市北区	43.155283	141.398319
あいの里公園	あいのさとこうえん	Ainosato-Kōen	G11	札沼線	北海道	札幌市北区	43.161219	141.413272
相内	あいのない	Ainonai	A57	石北本線	北海道	北見市	43.795986	143.755461
愛別	あいべつ	Aibetsu	A38	石北本線	北海道	愛別町	43.898669	142.582086
青葉	あおば	Aoba	H19	室蘭本線	北海道	苫小牧市	42.630489	141.569864
赤井川	あかいがわ	Akaigawa	H66	函館本線	北海道	森町	42.003278	140.642667
赤平	あかびら	Akabira	T23	根室本線	北海道	赤平市	43.555158	142.048667
旭川	あさひかわ	Asahikawa	A28	函館本線	北海道	旭川市	43.763611	142.358056
旭川四条	あさひかわよじょう	Asahikawayojō	A29	宗谷本線	北海道	旭川市	43.764167	142.375833
朝里	あさり	Asari	S12	函館本線	北海道	小樽市	43.176861	141.064389
芦別	あしべつ	Ashibetsu	T26	根室本線	北海道	芦別市	43.516647	142.184519
厚岸	あっけし	Akkeshi		根室本線	北海道	厚岸町	43.056247	144.841217
厚床	あっとこ	Attoko		根室本線	北海道	根室市	43.228211	145.252369
厚内	あつない	Atsunai	K42	根室本線	北海道	浦幌町	42.809539	143.814389
厚別	あつべつ	Atsubetsu	A04	函館本線	北海道	札幌市厚別区	43.045094	141.463683
姉別	あねべつ	Anebetsu		根室本線	北海道	浜中町	43.196181	145.195056
網走	あばしり	Abashiri	A69	石北本線	北海道	網走市	44.020106	144.254092
安平	あびら	Abira		室蘭本線	北海道	安平町	42.814131	141.825267
安足間	あんたろま	Antaroma	A41	石北本線	北海道	愛別町	43.852072	142.693825
伊香牛	いかうし	Ikaushi	A37	石北本線	北海道	当麻町	43.876144	142.525303
生田原	いくたはら	Ikutahara	A53	石北本線	北海道	遠軽町	43.923539	143.534692
池田	いけだ	Ikeda	K36	根室本線	北海道	池田町	42.921456	143.453136
石狩沼田	いしかりぬまた	Ishikari-Numata		留萌本線	北海道	沼田町	43.81005	141.934228
石倉	いしくら	Ishikura	H58	函館本線	北海道	森町	42.172833	140.458472
磯分内	いそぶんない	Isobunnai	B62	釧網本線	北海道	標茶町	43.379486	144.554186
糸井	いとい	Itoi	H20	室蘭本線	北海道	苫小牧市	42.622061	141.545286
愛し野	いとしの	Itoshino	A62	石北本線	北海道	北見市	43.841497	143.932678
稲積公園	いなづみこうえん	Inazumikōen	S06	函館本線	北海道	札幌市手稲区	43.111972	141.257089
稲穂	いなほ	Inaho	S08	函館本線	北海道	札幌市手稲区	43.128069	141.222853
岩見沢	いわみざわ	Iwamizawa	A13	函館本線	北海道	岩見沢市	43.203972	141.759639
植苗	うえなえ	Uenai	H16	千歳線	北海道	苫小牧市	42.713506	141.735019
有珠	うす	Usu	H40	室蘭本線	北海道	伊達市	42.512969	140.793889
浦幌	うらほろ	Urahoro	K40	根室本線	北海道	浦幌町	42.810492	143.651503
恵庭	えにわ	Eniwa	H10	千歳線	北海道	恵庭市	42.882728	141.586811
江部乙	えべおつ	Ebeotsu	A22	函館本線	北海道	滝川市	43.627361	141.935889
江別	えべつ	Ebetsu	A09	函館本線	北海道	江別市	43.110642	141.557169
遠軽	えんがる	Engaru	A50	石北本線	北海道	遠軽町	44.059944	143.520778
追分	おいわけ	Oiwake	K15	室蘭本線	北海道	安平町	42.873261	141.810714
大麻	おおあさ	Ōasa	A06	函館本線	北海道	江別市	43.072492	141.497258
大岸	おおきし	Ōkishi	H43	室蘭本線	北海道	豊浦町	42.585817	140.638525
大中山	おおなかやま	Ōnakayama	H72	函館本線	北海道	七飯町	41.864739	140.713483
大沼	おおぬま	Ōnuma	H68	函館本線	北海道	七飯町	41.971953	140.669347
大沼公園	おおぬまこうえん	Ōnumakōen	H67	函館本線	北海道	七飯町	41.981031	140.669889
奥津軽いまべつ	おくつがるいまべつ	Okutsugaru-Imabetsu		北海道新幹線	青森県	今別町	41.145083	140.515444
筬島	おさしま	Osashima	W62	宗谷本線	北海道	音威子府村	44.738722	142.197639
長都	おさつ	Osatsu	H12	千歳線	北海道	千歳市	42.851867	141.623061
納内	おさむない	Osamunai	A25	函館本線	北海道	深川市	43.732361	142.130972
渡島砂原	おしまさわら	Oshima-Sawara	N66	函館本線(砂原支線)	北海道	森町	42.121644	140.689539
渡島沼尻	おしまぬまじり	Oshima-Numajiri	N67	函館本線(砂原支線)	北海道	森町	42.107042	140.747608
